id,bororo
71,"Icare ere edo tumugudo pugeje. Era kodo baado, ere adugo biri bu keje ekuda, icare ere edo tumugudo keje. Mare ekare tumugudo, ere epujonure keje. Eroiwamodukare tuwo tumugudo, nowu kado paru jore mototo etododai, du ukare eroiwado tuwo tumugudo, du koiare epujonure."
72,"Dukejere Birimodo, Akaruio Boroge ere nowu Ke rawuje nowu Bakororodoge epiji."
73,"Icare ere nowu Ke bu  nowu aroe keje. Icare ere cewu adugo biri, cewu kodo, ere reko jice bororo paru kae. Icare ere nowu Ke reko toro, ere rakojedo nono. Icare ere tamudo biega tu je."
74,Akaruio Bokodorire paru ko. Kodure toro jii... icare ure nowu paru akedudo. Icare akore: - Iawo... u u...!
75,"Dukejere icare nowu Tugarege ere tugeragu Eceraei. Nowu Birimodo, nowu Akaruio Boroge emagere eroino pugeje."
76,"Ere tugeragu Badojebagei. Awu Akaruio Boroge ure tugeragu Bakoro Eceraei. Ere edo pobetu pobetu pobetu, cewu toro tabo, nowu torore ere barigu etaoto kuri to, kuri to je."
77,"Icare Badojebage Bakoro Ecerae etagedure, dukeje nowu Kie, Bokodori Ecerae, pugeje. Nowu Akaruio Boroge ure tugeragu Bokodori Eceraei, nowu Birimodo ure tugeragu Kiei."
78,"Ime ekodure jao. Ime etagedure icare etumeduia areme ere tugeragu ei pugeje. Etagedure dukeje, Bokodori Ecerae ime pugeje, Bokodori Ecerae areme pugeje."
79,"Dukejere Iwagududoge ime, areme. Dukejere Arore Cebegiwuge ime, areme."
80,"Dukejere barogwa kododure etagedukeje. Ere tugera ra nowu Ke piji, ere buredo tuku, nowu bororo keje rugadu."
81,Nowu Bakororodoge etui nowu Ke tabo dukeje ere todomo nowu iparei tuiamedutabo.
82,"Nowu Bakororodoge etumode nowu Ke tabo dukeje, ere todomo tu, todomo tu nowu iparei, erijowo nono nowu maridore."
83,"Icare ere tugera ra epiji, barogwa kododutabo. Dukejere nowu ipare etuiorubodarege  ere tugeragu ei. Nowu ipare etumanamage, etuiedagamage emagere ere tugeragu nowu ipare etuiorubodaregei, ere ewuredo tu , dukejere eregodure nowu tuwiemage, nowu tuwage ewogai, icare ewureagurure ei."
84,Boe egore: - Io... io io io ...
85,"Egore: - Awuge ebore tare bororo bu, tare jipa bu. Awuge ebore tare tawure jodo ipo paru keje, iwara paru keje. Awuge ebore tare icegu i co ra. Awuge ebore tare kuogo i co ra."
86,"Icare eregodure cewu Bakorokudu ae pugeje, ere tugera bu iera kajeje, ekodo apo, ere buredo, ere pariko tugu aoto."
87,Icare ure togwa tugu nowu ikato: Ko... ko... go go go...
