id	source	portuguese	reviewed	portuguese_reviewed	segmentation	gloss	editorial_note
BOR-CORBO-OIE-FINADO-BENTINHO-G86-035	Ako utugodu muguiagu (2) Uiedaga IPAREBO BAKORORO ako utugodo muguiagu tuiorudu iogoduio cimo kuje eiegiri uredudu okwa bukejewu cenaia kajejewu padarogwareu jorigiare etoiaga atugo aregodureu aruduia awugeje. Ako utugodo muguiagui.						
BOR-CORBO-OIE-FINADO-BENTINHO-G86-036	Unowagoro awaduna aregodu onatogire (2) Aredo TAMIGIARE BAKORORORODO eigerere tarowewuio arowe aijoio unowagoro awaduna aregodu onatogire rekoduia tuwororo okwabijire. Unowagora awaduna aregodu onatogire.						
BOR-CORBO-OIE-FINADO-BENTINHO-G86-037	Ieraro makudu wararere utugarece eta (2) Bopaguduia Aedowu Bakororo aieraro aiduia emeriworo rukoreuge etoiaga urugu magudu bararere tugarece eta. Ieraro makudu wararere utugarece eta.						
BOR-CORBO-OIE-FINADO-BENTINHO-G86-038	Aioreruna Aijioji toro (2) Bopaguduia Tuwagowu Bakororo cebarigogo aturuwareu okwa akiri uredudu aioreruna ekumodureu bopaguduia AEDOWARE BAKORORO aioji toro aremoduia aiogwaio okwa. Aioreruna uwaioji toro.						
BOR-CORBO-OIE-FINADO-BENTINHO-G86-039	Etoiaga iemaro paduregaje (2) Uiedaga Butore Bakororo ecebacewu etoiaga iemaro paduregaje aroe turedoduia taboguru uia jetugae. Etoiaga iemaro paduregaje.						
BOR-CORBO-OIE-FINADO-BENTINHO-G86-040	Bure kia birigodu rekoduiagu (2) Akare ikimamomo KARAUIO EIMEJERA bure kia birigodu rekoduiagu aroe turegoduia tuwororo okwabijire. Bure kia birigodu rekoduiagu.						
BOR-CORBO-OIE-FINADO-BENTINHO-G86-041	Enogwa iemaro paduregaje (2) Aredo Arogia Bakorororodo eigerere yarowewuio Okoge Cibaiaripudabowu bopaguduia IPARE EKURAU BAKORORO aregoduia awugeje. Enogwa iemaro paduregaje.						
BOR-CORBO-OIE-FINADO-BENTINHO-G86-042	Ukuwodu jiroka nono (2) Ukuwodu are aku OKOGE IROGODUIO ukudawu bureroka okwa akiridodu padure Padarobo owotogajeje. Ukudawu jiroka nono.						
BOR-CORBO-OIE-FINADO-BENTINHO-G86-043	Kudu iemaro paduregaje (2) Akare ikimamomo Tubore Eimejera kudu iemaro paduregaje, aroe turedoduia tuiogwaio otogajeje, Ukuwodu jiroka nono.						
BOR-CORBO-OIE-FINADO-BENTINHO-G86-044	Cibae etaro urugudo akije toro (2) Cibae Etaro urugudo bopaguduioa KUOGOREU BAKORORO akije toro bokuoduia akudawu bóia bukorire. Cibae Etaro urugudo akije toro.						
