id	name	description
BOR-CORBO-ETN-0055	Poari Iwo	Boe ere urugudu rogu reko areme emoguro ji uwo kori akedudo
BOR-CORBO-ETN-0056	Tugumana	Boe ere nowu jorubo kurudo du tabore boe eiogore pudui boe etogorire pudui duji boe edawu korire pudui duji, boe ewogodu boe ewiri kigori ji
BOR-CORBO-ETN-0057	Okuwa Doge Etobu-reu	Boe ere nowu i biri beredo du boe eiogore pudui tuwiri uruji, turuwo koriji, tugojari kuriji, tuwiri pegaji, etore ewudae re kurire pudui duji
BOR-CORBO-ETN-0058	Juria í	Boe ere aru tugu tu tudo tui turemo boeto du oto dai tuwure jo kawo awagu keje
BOR-CORBO-ETN-0059	Ikui	Boe ere aru uredudu kodi bače ei, Ukwa kowu du urugudu rogure boe ere reko pudui uwo boe pegareu ja do boe epiji
BOR-CORBO-ETN-0060	Kigore Doge Erubo / Mace Erubo	Boe ere boe etore etaimo aru kuruče emeru mariguwo. Boe eiogore boe etore ei ukwa tabo ekawo tugeragu boe pegareuji
BOR-CORBO-ETN-0061	Pariki Iogoda Erubo	Boe ere awu ukwa beredo pemegare boe ewareduji
BOR-CORBO-ETN-0062	Bekururebe	Boe ewai ipore ema meriri iku ipore ema jamedu
BOR-CORBO-ETN-0063	Merurireu	Boe ere tumikado i rema, tudaraiga boe ewai ipoguru ure ema jamedu. Boe ere aru araka beredo boe ekuri kori epače du boe ere boe etore etaimo če jamedu eduruwo
BOR-CORBO-ETN-0064	Noakodo í / Rea tareu (tadarimana); Rea doge’etuarareu (Piebaga)	Boe ere aru ukwa bu tu pugeje dure boe ere berego boe eiogore tore ei eto botu mariguwo
BOR-CORBO-ETN-0065	Jugodoge Etore Erubo	Boe ere kurodu mugudo kurudo boe ere kurodu rogu kowuje. Boe ere kuru butudo baito. I biri pemegare boe epegaruruji tuwo boe eragedudo jamedu boe eiogore pudui tabo
BOR-CORBO-ETN-0066	Eka	Ere udo ainono kodudu rerore (rakare kodi durure kodi)
BOR-CORBO-ETN-0067	Mórie Enogwaréu	
BOR-CORBO-ETN-0068	Kaidaga (planta), Kaweredu (coco)	Boe ere kurodu kowuje, iere kaweredo ere nowu enogu kowuje. Ere nowu kaidaga ai oro, ereru tabo (boe itaga, boe jerimaga keje)
BOR-CORBO-ETN-0069	Baria í	Ere tugeragu nowu kaguruji tugojari epače, baere tuwogado, boe ekera, boe ewure bokodure, boe etonaregedo buture maiwu ukunabo bitu mariguwo. Boe ere nowu kaidaga a kuru rogu barigu tuiokuto, taiwo pemegawo, tuiorudu pemegawo
BOR-CORBO-ETN-0070	Kaidaga éku / Kaido	Boe ere tudogarado ema, tudogo epače, paro, kuiara, kaibori, aragodo
BOR-CORBO-ETN-0071	Ira oia kaworureu	Boe ere nowu biaru poporo kurodu ere kurudo tuguduwo če
BOR-CORBO-ETN-0072	Biaru Poroporo	Boe ere kurodu kowuje, boe ekere ema
BOR-CORBO-ETN-0073	Taru	Boe ere nowu kuru bekuru tugu taoto tao kugudugod u wo tao pemegawo
BOR-CORBO-ETN-0074	Bóe Etáo Epá	Boe erubore ema nowu aru, iwara, ukwa ere mugudo joru tada tuguduwo če, uwo tugu pemegado, čigurudu pemegawo boe erubo nure ema
BOR-CORBO-ETN-0075	Koge Erubo	Ere nowu aru tugu taokudawu kuda, iadu ere taimo nowu aru kuruče boe ewudugugoduwo, boekori kawo boe
BOR-CORBO-ETN-0076	Koge etoreu	Ere ikudo toreduwo to barege ebo
BOR-CORBO-ETN-0077	Apidoreu	Ere mugudo tuguduwo če ere berego, nowu aru ere gugudo poboto tuwo taimo tabo. Nowu a ere mugudo joru tada beregoduwo ere epado boe ewiri uru, boe etaora kori
BOR-CORBO-ETN-0078	Rubo Erubo (Piebaga) / Inorubo Erubo	Nowu arú kuru rogu boe ere reko tuwia, togwa poroji bitu mariguwo
BOR-CORBO-ETN-0079	Riwódoe Erúbo	Boe enoroe, boe jerimaga, boe itaga kejere pemegadodure
BOR-CORBO-ETN-0080	Ari	Nowu ukware ere mugudo joru tada ere beredo tuguduwo če ere tugojari epado ema
BOR-CORBO-ETN-0081	Urugo Aru	Nowu aru ere mugudo joru tada ere beredo tuguduwo če ere tugojari epado ema
BOR-CORBO-ETN-0082	Kimao Itura Tadawu	Boe enoroe nure ema mare boe jerimaga, boe itaga kejere boere tugera kiowado ji
BOR-CORBO-ETN-0083	Kodui	Nowu ukware ere mugudo joru tada berego tuguduwo če, ere tuguri kori, tubegaguru, tuguiboka kori epado ema jamedu, uwo tugu pemegado
BOR-CORBO-ETN-0084	Jorubo Aogigirereu	Nowu a rogu kududo reko ia tuwure, tubogora kurodureuji. Nowu ukwa ere mugudo joru tada ere berego tuguduwo če togojari ku epače, ewo tugu pemegado areme etorewudae, boe etore eku epado ema
BOR-CORBO-ETN-0085	boe bokware	Boe ere kurodu kowuje, boe ere kodure maidu tudu kowuje
BOR-CORBO-ETN-0086	Goiaba Umana / Barege Ewirireu / Itura Tadauru	Boe ere kurodu kowuje. Nowu araka ere mugudo joru tada beregodure nowu i biri pemegare boe epegaguru epa reno
BOR-CORBO-ETN-0087	Umana	Boe ere tugera kiogwado ji tuwai epače, irawo ema
BOR-CORBO-ETN-0088	Buruduí Umana	Ere nowu kurodu mugudo joru tada enogwagere ji. Jaoboe mariguduboe enogwagere kuduji
BOR-CORBO-ETN-0089	Očebaka (itura) / kido (boku)	Boe erubore nowu aru, nowu ukwa, boe eku pemegawo
BOR-CORBO-ETN-0090	Baría Bokujjiwo	Ere nowu biri padure i kejewu tugu ia meririto pobo tabo, nowu biri ere mugudo joru tada ekudure če turageduwo. Nowu i tabo ere toroe boe ipodo ema taraiga
BOR-CORBO-ETN-0091	Bače Enodoreu / Mače Enodoreu	Enogwagere nowu kurodu roguji
